programming,communication,creativity,analytical,leadership,interest_ai,interest_business,interest_design,career
10,5,4,10,4,1,0,0,AI Engineer
10,4,4,8,4,1,0,0,AI Engineer
10,4,4,8,5,1,0,0,AI Engineer
10,4,5,8,4,1,0,0,AI Engineer
10,5,3,9,6,1,0,0,AI Engineer
8,4,5,10,6,1,0,0,AI Engineer
8,5,4,10,6,1,0,0,AI Engineer
8,4,4,8,4,1,0,0,AI Engineer
9,4,5,9,4,1,0,0,AI Engineer
10,5,5,10,4,1,0,0,AI Engineer
8,6,4,10,6,1,0,0,AI Engineer
8,6,5,9,4,1,0,0,AI Engineer
9,4,3,8,6,1,0,0,AI Engineer
8,5,4,9,4,1,0,0,AI Engineer
10,6,3,8,6,1,0,0,AI Engineer
7,7,4,8,6,1,0,0,Data Scientist
7,6,4,8,6,1,0,0,Data Scientist
9,5,6,7,5,1,0,0,Data Scientist
9,7,5,9,6,1,0,0,Data Scientist
9,6,6,9,7,1,0,0,Data Scientist
8,6,4,8,7,1,0,0,Data Scientist
8,6,4,8,6,1,0,0,Data Scientist
7,6,4,9,5,1,0,0,Data Scientist
9,6,6,8,5,1,0,0,Data Scientist
7,5,5,8,5,1,0,0,Data Scientist
9,6,5,7,5,1,0,0,Data Scientist
8,7,6,9,5,1,0,0,Data Scientist
8,6,6,7,7,1,0,0,Data Scientist
7,7,6,7,7,1,0,0,Data Scientist
9,7,4,8,5,1,0,0,Data Scientist
6,6,4,8,4,1,0,0,Software Developer
8,5,4,6,6,1,0,0,Software Developer
6,4,5,7,4,1,0,0,Software Developer
8,5,3,7,4,1,0,0,Software Developer
7,5,5,7,6,1,0,0,Software Developer
8,5,4,7,4,1,0,0,Software Developer
6,5,3,8,6,1,0,0,Software Developer
8,5,3,6,5,1,0,0,Software Developer
7,6,4,6,4,1,0,0,Software Developer
6,4,4,6,6,1,0,0,Software Developer
8,6,4,8,6,1,0,0,Software Developer
8,6,4,7,5,1,0,0,Software Developer
9,6,5,6,5,1,0,0,Software Developer
7,4,3,7,4,1,0,0,Software Developer
8,4,5,6,4,1,0,0,Software Developer
4,9,5,8,7,0,1,0,Business Analyst
4,9,6,6,6,0,1,0,Business Analyst
7,9,6,6,6,0,1,0,Business Analyst
7,9,6,6,8,0,1,0,Business Analyst
5,7,6,8,6,0,1,0,Business Analyst
4,7,7,7,8,0,1,0,Business Analyst
7,9,6,6,8,0,1,0,Business Analyst
7,9,7,8,7,0,1,0,Business Analyst
4,7,5,7,6,0,1,0,Business Analyst
7,9,6,6,7,0,1,0,Business Analyst
